[description:"Buuyh milk" end:"1292364327" entry:"1292364216" status:"deleted" uuid:"4059b1dc-7a69-3e1d-9cfa-6e7928b404f4"]
[description:"baseline puma" end:"1294013088" entry:"1292425482" status:"deleted" uuid:"6b16a3f4-d9d8-812d-dfd1-74d3bb352e88"]
[description:"Follow-up with SE on email cross" end:"1294086908" entry:"1294023297" project:"sf" status:"completed" uuid:"ea96af83-2f23-ad48-107f-1b28b70fdbbc"]
[description:"email Tara about bereavement book" end:"1294235486" entry:"1294013033" project:"Gail" status:"completed" tags:"email" uuid:"549aeebb-0d19-a8f1-dd21-1d1fded98e8d"]
[description:"email Tara about memorial programs" end:"1294235486" entry:"1294013117" project:"Gail" status:"completed" tags:"email" uuid:"5cf68275-4733-a23c-68db-045d13078fbd"]
[description:"Call Will about downstairs apartment eviction" end:"1294235503" entry:"1294023257" project:"sigsbee" status:"completed" tags:"call" uuid:"0a07ba73-ebc8-157d-0d3b-4e938b215845"]
[description:"look up SAN" end:"1294266182" entry:"1294241241" project:"sf" status:"completed" uuid:"fff267bb-46fd-4f62-5e02-8b58d1bf8447"]
[depends:"ccfb70fc-d47f-2035-e306-a4ea0a58bd97" description:"Get cashier check for home closing" due:"1294203600" end:"1294266202" entry:"1294023237" project:"refi" status:"completed" uuid:"29951996-c6bc-e36e-7ad7-5f244b2e5e07"]
[description:"Email status to Brian" due:"1319086800" end:"1331391585" entry:"1331391519" imask:"41" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"bff4e1a7-3424-d743-a20c-58f761c6dbd8"]
[description:"Email status to Brian" due:"1319691600" end:"1331391585" entry:"1331391519" imask:"42" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"adc8e6f1-a157-99a3-caf1-3e8904fdfd5a"]
[description:"Email status to Brian" due:"1320296400" end:"1331391585" entry:"1331391519" imask:"43" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"a1288292-3eac-74f3-ff52-ddbd2ba18fb2"]
[description:"Email status to Brian" due:"1320901200" end:"1331391585" entry:"1331391519" imask:"44" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"1ea903b3-1508-afc9-e1bc-e69014293db4"]
[description:"Email status to Brian" due:"1321506000" end:"1331391585" entry:"1331391519" imask:"45" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"b5db89f9-ef28-ee1d-fc9d-32e460ead9e9"]
[description:"Email status to Brian" due:"1322110800" end:"1331391585" entry:"1331391519" imask:"46" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"fc475313-23c1-1de0-a7dd-9b10bfa99828"]
[description:"Email status to Brian" due:"1322715600" end:"1331391585" entry:"1331391519" imask:"47" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"46f9a0dc-39d4-6b40-22dc-dfc9e627e4f3"]
[description:"Email status to Brian" due:"1323320400" end:"1331391585" entry:"1331391519" imask:"48" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"afc4f913-2e79-ac9c-e78b-6444a6c9abc5"]
[description:"Email status to Brian" due:"1323925200" end:"1331391585" entry:"1331391519" imask:"49" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"a89a2ad4-94d3-07fe-e8a4-ce87540f0c4a"]
[description:"Email status to Brian" due:"1324530000" end:"1331391585" entry:"1331391519" imask:"50" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"4e4681b1-6846-f45d-cf18-daf2ef2eb690"]
[description:"Email status to Brian" due:"1325134800" end:"1331391585" entry:"1331391519" imask:"51" parent:"fe586f9c-d260-d70f-2f02-9340e02c3db3" project:"sf" recur:"weekly" status:"deleted" uuid:"4d6df1e5-a3b9-7073-f8bd-2bf1a1f6886c"]
